rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,dem_source,flowline_type,ref_hgt_qc_diff,inversion_glen_a,inversion_fs,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias
RGI60-09.00011,09,09-02,(Severny Island),59.5313,75.7858,0.824,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.04558325355989939,0.026054265422982465,0.0,0.0,COPDEM,elevation_band,210.0,2.804597255283034e-24,0,,,388.5885009765625,393.57696533203125,319.16790771484375,469.0234069824219,469.0234069824219,319.16790771484375,0.0,59.496732404269004,75.78575534158605,1196.0,823999.9999999999,389.60749008922653,454.25119404233385,327.17711712608843,0.11088283882116864,688.963210702341,51.244218526868764,238.73197007665954,1995,89.98626568653208,89.98626568653208,True,382.9085044539663
RGI60-09.00012,09,09-02,(Severny Island),61.0686,75.9712,1.133,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.07879706510998767,0.04036872594550375,0.0,0.0,COPDEM,elevation_band,319.0,2.804597255283034e-24,0,,,746.3250732421875,776.7061767578125,364.7326354980469,844.2811279296875,819.8802490234375,364.7326354980469,0.2079646017699115,61.05332587237861,75.98118699876831,1850.0,1132999.9999999998,757.8950369121578,840.6491119023459,393.0768057553436,0.23673288355864716,612.4324324324325,82.99955022894899,133.04897425549655,1995,229.5685317877636,229.56853178776356,True,382.58583841873116
RGI60-09.00013,09,09-02,(Severny Island),61.0382,75.9619,0.433,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.014189537744494777,0.010755974762285963,0.0,0.0,COPDEM,elevation_band,319.0,2.804597255283034e-24,0,,,513.3822021484375,485.6318664550781,362.21075439453125,779.3319091796875,779.3319091796875,362.21075439453125,0.0,61.035000714418324,75.95749262111909,988.0,433000.0,515.3052892991543,754.1364064960761,385.48572654280235,0.3623572351854988,438.25910931174076,144.59950177055165,274.95245140122836,1995,99.96748649157708,99.96748649157703,True,382.5916380448772
RGI60-09.00014,09,09-02,(Severny Island),57.4136,73.9902,2.687,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.18578004512195023,0.13234939439278823,0.0,0.0,COPDEM,elevation_band,,2.804597255283034e-24,0,,,337.98089599609375,357.144287109375,127.13602447509766,482.57110595703125,482.57110595703125,127.13602447509766,0.0,57.453638247196686,73.99985979009882,2112.0,2687000.0,338.6327257930077,451.0984190264357,148.51047303435,0.1462153638542562,1272.253787878788,112.65947079918338,321.163978050784,1995,150.53935420078608,150.53935420078608,True,406.7850679065372
RGI60-09.00015,09,09-02,(Severny Island),61.171,76.0139,0.376,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.012468478650191211,0.008858541086867776,0.0,0.0,COPDEM,elevation_band,420.0,2.804597255283034e-24,0,,,532.4093017578125,524.3088989257812,452.5658874511719,699.931396484375,699.931396484375,452.5658874511719,0.0,61.16817931163274,76.01777719201655,722.0,375999.9999999999,539.3096676017774,679.8580422542444,470.3613384970015,0.28900768318190256,520.7756232686979,215.6578577282232,338.3304252725097,1995,83.873432919741,83.87343291974102,True,382.5672113932343
RGI60-09.00016,09,09-02,(Severny Island),66.3941,76.219,1.525,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.12093121939149357,0.060740023010150655,0.0,0.0,COPDEM,elevation_band,340.0,2.804597255283034e-24,0,,,245.25021362304688,245.8753662109375,221.9396514892578,259.8299560546875,259.8299560546875,221.9396514892578,0.0,66.42192491462913,76.21464532505681,1026.0,1525000.0,243.19849318992462,248.86878293964222,235.54648512634563,0.013705209548857806,1486.3547758284599,889.3895519704603,1022.0484906055714,1995,51.49196962606611,51.49196962606613,True,361.1337460657323
RGI60-09.00017,09,09-02,(Severny Island),64.2964,76.2696,1.431,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.07606502016710072,0.055652337915863485,0.0,0.0,COPDEM,elevation_band,520.0,2.804597255283034e-24,0,,,535.02294921875,543.0083618164062,387.64263916015625,616.126953125,616.126953125,387.64263916015625,0.0,64.25647202463828,76.27164391312888,1296.0,1431000.0,535.1388950197052,604.3913301822249,418.64724071218603,0.14747084490850604,1104.1666666666667,298.3169638389751,588.4195577791561,1995,81.51586698762131,81.51586698762132,True,381.9208749669323
RGI60-09.00018,09,09-02,(Yuzhny Island),54.2581,72.9675,0.66,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.026687659030735122,0.019202237124915925,0.0,0.0,COPDEM,elevation_band,170.0,2.804597255283034e-24,0,,,598.5392456054688,609.0151977539062,385.0661926269531,771.4247436523438,771.4247436523438,385.0661926269531,0.0,54.26686766128927,72.96089866613413,1344.0,660000.0,602.3827307986301,755.8321011312308,411.83621872498765,0.2548376392966709,491.0714285714286,201.31834866923055,289.896830729828,1995,93.12356117633216,93.12356117633215,True,486.14162836330337
RGI60-09.00019,09,09-02,(Yuzhny Island),54.2435,73.0873,0.661,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.029114415705620938,0.01924225314696804,0.0,0.0,COPDEM,elevation_band,289.0,2.804597255283034e-24,0,,,683.6012573242188,694.0525512695312,527.00537109375,869.097900390625,869.097900390625,527.00537109375,0.0,54.25239923786073,73.09133198811897,1302.0,661000.0,672.2227374800548,857.2455014606701,536.7518788008714,0.24453572863993958,507.6804915514592,53.949384917346755,165.48574789139883,1995,83.04822799776451,83.04822799776454,True,485.5160346492705
RGI60-09.00020,09,09-02,(Severny Island),64.3786,76.3203,1.598,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.09237211741357917,0.06477344303927396,0.0,0.0,COPDEM,elevation_band,290.0,2.804597255283034e-24,0,,,426.1573486328125,433.18499755859375,157.52305603027344,620.68017578125,620.68017578125,157.52305603027344,0.0,64.35731823776821,76.33098528342722,2128.0,1598000.0,430.50509717539495,605.2011955025163,185.03128084281732,0.1990427364161109,750.9398496240601,79.07549996335015,157.88108691189632,1995,119.18351804261734,119.18351804261731,True,381.9045180742041
RGI60-09.00021,09,09-02,(Severny Island),64.7045,76.3458,0.313,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.011595451736004368,0.006884182598175191,0.0,0.0,COPDEM,elevation_band,620.0,2.804597255283034e-24,0,,,628.3987426757812,635.3043212890625,485.7818603515625,739.7271728515625,739.7271728515625,485.7818603515625,0.0,64.70397914806897,76.35132822864516,1008.0,313000.0,631.541810288941,725.7956288419454,504.9940696542144,0.22155260299182586,310.5158730158731,141.2189022817216,196.39271865038356,1995,77.77061159986299,77.770611599863,True,361.4990375397711
